epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,404.022,0.47329,0.38193,0.8309,0.96137,0.98222,0.98572,0.92516,0.34508,0.29401,0.78689,0.00106025,0.00106025,0.00106025
25,420.428,0.47976,0.36832,0.83363,0.98682,0.98555,0.98705,0.93338,0.3481,0.27884,0.78217,0.001052,0.001052,0.001052
26,436.855,0.47926,0.36741,0.83484,0.98573,0.98387,0.98956,0.93971,0.33554,0.26826,0.78381,0.00104375,0.00104375,0.00104375
27,453.713,0.46338,0.35498,0.82913,0.98636,0.98266,0.98839,0.92826,0.35839,0.27408,0.78374,0.0010355,0.0010355,0.0010355
28,469.975,0.46325,0.3557,0.83215,0.98254,0.98847,0.98765,0.93195,0.34353,0.26992,0.78337,0.00102725,0.00102725,0.00102725
29,486.52,0.46128,0.35293,0.83085,0.98256,0.98131,0.98885,0.9302,0.34502,0.27502,0.78536,0.001019,0.001019,0.001019
30,503.912,0.45817,0.3469,0.83025,0.9791,0.98521,0.98778,0.94398,0.31374,0.26279,0.77866,0.00101075,0.00101075,0.00101075
31,521.861,0.45406,0.35777,0.82991,0.97884,0.9892,0.98805,0.93991,0.31354,0.25355,0.77928,0.0010025,0.0010025,0.0010025
32,539.891,0.45634,0.34941,0.82948,0.97295,0.98771,0.9887,0.94228,0.31927,0.25763,0.77848,0.00099425,0.00099425,0.00099425
33,558.272,0.45539,0.34816,0.82853,0.97435,0.98901,0.98703,0.93793,0.32238,0.25759,0.77819,0.000986,0.000986,0.000986
34,576.367,0.45117,0.33669,0.82824,0.97379,0.98928,0.98973,0.94166,0.31068,0.25913,0.77925,0.00097775,0.00097775,0.00097775
35,594.284,0.4479,0.34011,0.82586,0.97569,0.98294,0.98673,0.9434,0.31303,0.25542,0.77696,0.0009695,0.0009695,0.0009695
36,612.638,0.44303,0.33266,0.82428,0.98118,0.98695,0.9884,0.94545,0.31093,0.25363,0.7771,0.00096125,0.00096125,0.00096125
37,631.649,0.44705,0.33485,0.82589,0.97418,0.98578,0.98771,0.94154,0.31035,0.2582,0.77728,0.000953,0.000953,0.000953
38,650.871,0.4416,0.3264,0.8236,0.96209,0.98732,0.98801,0.93995,0.3158,0.26527,0.77926,0.00094475,0.00094475,0.00094475
